product_id,product_name,vendor,category,price,original_price,rating,review_count,in_stock,sku,tags,description,created_at,image_url,product_url,is_discounted,discount_amount,discount_percentage,stock_status,created_date,created_year,created_month,created_month_name,price_category,rating_category
11,Professional Brush Kit,AutoParts Pro,Art,55.29,,3.6,204,0,SKU-ART-0011,supplies,High-quality professional brush kit from AutoParts Pro. Perfect for everyday use. Features premium materials and thoughtful design. This art product has been carefully crafted to meet the highest standards of quality and performance.,2023-05-21 00:00:00,https://placehold.co/400x400/ec4899/ffffff?text=Brush,https://scrapingsandbox.com/product/11,0,0.0,0.0,Out of Stock,2023-05-21,2023,5,May,Affordable,Good
12,Smart Play Dough,AutoParts Pro,Toys,123.5,198.84,3.5,438,1,SKU-TOY-0012,"games, fun, creative",High-quality smart play dough from AutoParts Pro. Perfect for everyday use. Features premium materials and thoughtful design. This toys product has been carefully crafted to meet the highest standards of quality and performance.,2023-10-11 00:00:00,https://placehold.co/400x400/06b6d4/ffffff?text=Play,https://scrapingsandbox.com/product/12,1,75.34,37.89,In Stock,2023-10-11,2023,10,October,Premium,Good
13,Premium Vinyl Record,DeskMate,Music,69.22,,4.5,442,1,SKU-MUS-0013,"instruments, audio, recording",High-quality premium vinyl record from DeskMate. Perfect for everyday use. Features premium materials and thoughtful design. This music product has been carefully crafted to meet the highest standards of quality and performance.,2022-01-19 00:00:00,https://placehold.co/400x400/ef4444/ffffff?text=Vinyl,https://scrapingsandbox.com/product/13,0,0.0,0.0,In Stock,2022-01-19,2022,1,January,Affordable,Excellent
14,Professional Aquarium Plant,TechVault,Pet Supplies,71.68,100.32,4.6,339,1,SKU-PET-0014,dogs,High-quality professional aquarium plant from TechVault. Perfect for everyday use. Features premium materials and thoughtful design. This pet supplies product has been carefully crafted to meet the highest standards of quality and performance.,2022-09-18 00:00:00,https://placehold.co/400x400/f59e0b/ffffff?text=Aquarium,https://scrapingsandbox.com/product/14,1,28.64,28.55,In Stock,2022-09-18,2022,9,September,Affordable,Excellent
15,Vintage Stuffed Animal,HomeNest,Toys,124.84,176.26,5.0,252,1,SKU-TOY-0015,"games, fun, creative",High-quality vintage stuffed animal from HomeNest. Perfect for everyday use. Features premium materials and thoughtful design. This toys product has been carefully crafted to meet the highest standards of quality and performance.,2022-04-18 00:00:00,https://placehold.co/400x400/ef4444/ffffff?text=Stuffed,https://scrapingsandbox.com/product/15,1,51.42,29.17,In Stock,2022-04-18,2022,4,April,Premium,Excellent
16,Eco-Friendly Protein Bar,UrbanThread,Food & Beverage,76.27,,3.9,47,1,SKU-FOO-0016,organic,High-quality eco-friendly protein bar from UrbanThread. Perfect for everyday use. Features premium materials and thoughtful design. This food & beverage product has been carefully crafted to meet the highest standards of quality and performance.,2023-05-28 00:00:00,https://placehold.co/400x400/3b82f6/ffffff?text=Protein,https://scrapingsandbox.com/product/16,0,0.0,0.0,In Stock,2023-05-28,2023,5,May,Affordable,Good
17,Lightweight Paper Clips,UrbanThread,Office Supplies,156.17,,4.3,80,1,SKU-OFF-0017,"stationery, desk, organization",High-quality lightweight paper clips from UrbanThread. Perfect for everyday use. Features premium materials and thoughtful design. This office supplies product has been carefully crafted to meet the highest standards of quality and performance.,2023-08-21 00:00:00,https://placehold.co/400x400/ec4899/ffffff?text=Paper,https://scrapingsandbox.com/product/17,0,0.0,0.0,In Stock,2023-08-21,2023,8,August,Luxury,Very Good
18,Professional Guitar Strings,NovaTech,Music,159.77,264.22,4.1,418,1,SKU-MUS-0018,"instruments, audio, recording",High-quality professional guitar strings from NovaTech. Perfect for everyday use. Features premium materials and thoughtful design. This music product has been carefully crafted to meet the highest standards of quality and performance.,2022-06-16 00:00:00,https://placehold.co/400x400/8b5cf6/ffffff?text=Guitar,https://scrapingsandbox.com/product/18,1,104.45,39.53,In Stock,2022-06-16,2022,6,June,Luxury,Very Good
19,Premium Business Book,PageTurner,Books,175.14,,4.9,108,1,SKU-BOO-0019,paperback,High-quality premium business book from PageTurner. Perfect for everyday use. Features premium materials and thoughtful design. This books product has been carefully crafted to meet the highest standards of quality and performance.,2023-09-21 00:00:00,https://placehold.co/400x400/06b6d4/ffffff?text=Business,https://scrapingsandbox.com/product/19,0,0.0,0.0,In Stock,2023-09-21,2023,9,September,Luxury,Excellent
20,Handcrafted Locket,DeskMate,Jewelry,106.84,,4.2,239,1,SKU-JEW-0020,"luxury, handmade",High-quality handcrafted locket from DeskMate. Perfect for everyday use. Features premium materials and thoughtful design. This jewelry product has been carefully crafted to meet the highest standards of quality and performance.,2023-06-07 00:00:00,https://placehold.co/400x400/f97316/ffffff?text=Locket,https://scrapingsandbox.com/product/20,0,0.0,0.0,In Stock,2023-06-07,2023,6,June,Premium,Very Good
21,Compact Heating Pad,NovaTech,Health,70.83,,4.8,494,1,SKU-HEA-0021,"wellness, supplements, medical",High-quality compact heating pad from NovaTech. Perfect for everyday use. Features premium materials and thoughtful design. This health product has been carefully crafted to meet the highest standards of quality and performance.,2023-08-20 00:00:00,https://placehold.co/400x400/8b5cf6/ffffff?text=Heating,https://scrapingsandbox.com/product/21,0,0.0,0.0,In Stock,2023-08-20,2023,8,August,Affordable,Excellent
22,Advanced Brake Pad,PlayZone,Automotive,108.45,,4.3,342,1,SKU-AUT-0022,"accessories, travel, safety",High-quality advanced brake pad from PlayZone. Perfect for everyday use. Features premium materials and thoughtful design. This automotive product has been carefully crafted to meet the highest standards of quality and performance.,2023-06-10 00:00:00,https://placehold.co/400x400/f97316/ffffff?text=Brake,https://scrapingsandbox.com/product/22,0,0.0,0.0,In Stock,2023-06-10,2023,6,June,Premium,Very Good
23,Heavy-Duty Seat Cover,ProGear,Automotive,30.36,,4.2,68,1,SKU-AUT-0023,"accessories, travel, safety",High-quality heavy-duty seat cover from ProGear. Perfect for everyday use. Features premium materials and thoughtful design. This automotive product has been carefully crafted to meet the highest standards of quality and performance.,2022-03-03 00:00:00,https://placehold.co/400x400/8b5cf6/ffffff?text=Seat,https://scrapingsandbox.com/product/23,0,0.0,0.0,In Stock,2022-03-03,2022,3,March,Budget,Very Good
24,Heavy-Duty Palette,TasteBud,Art,179.54,,3.7,69,1,SKU-ART-0024,painting,High-quality heavy-duty palette from TasteBud. Perfect for everyday use. Features premium materials and thoughtful design. This art product has been carefully crafted to meet the highest standards of quality and performance.,2022-10-10 00:00:00,https://placehold.co/400x400/6366f1/ffffff?text=Palette,https://scrapingsandbox.com/product/24,0,0.0,0.0,In Stock,2022-10-10,2022,10,October,Luxury,Good
25,Vintage Nerf Gun,CozyCorner,Toys,107.53,182.58,3.6,35,1,SKU-TOY-0025,kids,High-quality vintage nerf gun from CozyCorner. Perfect for everyday use. Features premium materials and thoughtful design. This toys product has been carefully crafted to meet the highest standards of quality and performance.,2023-11-11 00:00:00,https://placehold.co/400x400/10b981/ffffff?text=Nerf,https://scrapingsandbox.com/product/25,1,75.05,41.11,In Stock,2023-11-11,2023,11,November,Premium,Good
26,Pro Stamp Set,CozyCorner,Office Supplies,16.25,23.56,4.6,285,1,SKU-OFF-0026,"desk, organization, work",High-quality pro stamp set from CozyCorner. Perfect for everyday use. Features premium materials and thoughtful design. This office supplies product has been carefully crafted to meet the highest standards of quality and performance.,2022-02-27 00:00:00,https://placehold.co/400x400/6366f1/ffffff?text=Stamp,https://scrapingsandbox.com/product/26,1,7.31,31.03,In Stock,2022-02-27,2022,2,February,Budget,Excellent
27,Premium Air Freshener,VitalLife,Automotive,165.03,,4.8,370,0,SKU-AUT-0027,accessories,High-quality premium air freshener from VitalLife. Perfect for everyday use. Features premium materials and thoughtful design. This automotive product has been carefully crafted to meet the highest standards of quality and performance.,2022-01-18 00:00:00,https://placehold.co/400x400/10b981/ffffff?text=Air,https://scrapingsandbox.com/product/27,0,0.0,0.0,Out of Stock,2022-01-18,2022,1,January,Luxury,Excellent
28,Heavy-Duty Label Maker,PawPal,Office Supplies,195.41,293.23,3.2,467,1,SKU-OFF-0028,"desk, organization",High-quality heavy-duty label maker from PawPal. Perfect for everyday use. Features premium materials and thoughtful design. This office supplies product has been carefully crafted to meet the highest standards of quality and performance.,2023-12-18 00:00:00,https://placehold.co/400x400/f97316/ffffff?text=Label,https://scrapingsandbox.com/product/28,1,97.82,33.36,In Stock,2023-12-18,2023,12,December,Luxury,Average
29,Lightweight Blood Pressure Monitor,FitPro,Health,170.16,,4.9,170,0,SKU-HEA-0029,"wellness, supplements, medical",High-quality lightweight blood pressure monitor from FitPro. Perfect for everyday use. Features premium materials and thoughtful design. This health product has been carefully crafted to meet the highest standards of quality and performance.,2022-12-22 00:00:00,https://placehold.co/400x400/84cc16/ffffff?text=Blood,https://scrapingsandbox.com/product/29,0,0.0,0.0,Out of Stock,2022-12-22,2022,12,December,Luxury,Excellent
30,Ultra USB-C Hub,HomeNest,Electronics,110.55,,3.9,76,1,SKU-ELE-0030,gadgets,High-quality ultra usb-c hub from HomeNest. Perfect for everyday use. Features premium materials and thoughtful design. This electronics product has been carefully crafted to meet the highest standards of quality and performance.,2023-11-15 00:00:00,https://placehold.co/400x400/f59e0b/ffffff?text=USB-C,https://scrapingsandbox.com/product/30,0,0.0,0.0,In Stock,2023-11-15,2023,11,November,Premium,Good
31,Premium Travel Guide,SoundWave,Books,133.28,,3.6,498,1,SKU-BOO-0031,"reading, paperback",High-quality premium travel guide from SoundWave. Perfect for everyday use. Features premium materials and thoughtful design. This books product has been carefully crafted to meet the highest standards of quality and performance.,2023-10-31 00:00:00,https://placehold.co/400x400/84cc16/ffffff?text=Travel,https://scrapingsandbox.com/product/31,0,0.0,0.0,In Stock,2023-10-31,2023,10,October,Premium,Good
32,Vintage Speaker Cable,ProGear,Music,49.19,,3.4,481,0,SKU-MUS-0032,"instruments, accessories",High-quality vintage speaker cable from ProGear. Perfect for everyday use. Features premium materials and thoughtful design. This music product has been carefully crafted to meet the highest standards of quality and performance.,2022-01-27 00:00:00,https://placehold.co/400x400/3b82f6/ffffff?text=Speaker,https://scrapingsandbox.com/product/32,0,0.0,0.0,Out of Stock,2022-01-27,2022,1,January,Budget,Average
33,Classic First Aid Kit,VitalLife,Health,15.69,,4.1,265,1,SKU-HEA-0033,"supplements, natural",High-quality classic first aid kit from VitalLife. Perfect for everyday use. Features premium materials and thoughtful design. This health product has been carefully crafted to meet the highest standards of quality and performance.,2023-02-22 00:00:00,https://placehold.co/400x400/f97316/ffffff?text=First,https://scrapingsandbox.com/product/33,0,0.0,0.0,In Stock,2023-02-22,2023,2,February,Budget,Very Good
34,Eco-Friendly Grip Gloves,StyleCraft,Sports,193.06,,3.7,324,0,SKU-SPO-0034,"fitness, workout, outdoor",High-quality eco-friendly grip gloves from StyleCraft. Perfect for everyday use. Features premium materials and thoughtful design. This sports product has been carefully crafted to meet the highest standards of quality and performance.,2023-09-24 00:00:00,https://placehold.co/400x400/06b6d4/ffffff?text=Grip,https://scrapingsandbox.com/product/34,0,0.0,0.0,Out of Stock,2023-09-24,2023,9,September,Luxury,Good
35,Vintage Hoop Earrings,TasteBud,Jewelry,27.37,,3.1,495,1,SKU-JEW-0035,"handmade, fashion",High-quality vintage hoop earrings from TasteBud. Perfect for everyday use. Features premium materials and thoughtful design. This jewelry product has been carefully crafted to meet the highest standards of quality and performance.,2022-03-05 00:00:00,https://placehold.co/400x400/ef4444/ffffff?text=Hoop,https://scrapingsandbox.com/product/35,0,0.0,0.0,In Stock,2022-03-05,2022,3,March,Budget,Average
36,Modern Nut Mix,NovaTech,Food & Beverage,31.27,38.53,3.9,471,1,SKU-FOO-0036,snacks,High-quality modern nut mix from NovaTech. Perfect for everyday use. Features premium materials and thoughtful design. This food & beverage product has been carefully crafted to meet the highest standards of quality and performance.,2022-11-19 00:00:00,https://placehold.co/400x400/f59e0b/ffffff?text=Nut,https://scrapingsandbox.com/product/36,1,7.26,18.84,In Stock,2022-11-19,2022,11,November,Budget,Good
37,Handcrafted Flannel Shirt,SparkleBox,Clothing,164.84,,4.4,34,1,SKU-CLO-0037,"streetwear, unisex",High-quality handcrafted flannel shirt from SparkleBox. Perfect for everyday use. Features premium materials and thoughtful design. This clothing product has been carefully crafted to meet the highest standards of quality and performance.,2022-06-04 00:00:00,https://placehold.co/400x400/8b5cf6/ffffff?text=Flannel,https://scrapingsandbox.com/product/37,0,0.0,0.0,In Stock,2022-06-04,2022,6,June,Luxury,Very Good
38,Lightweight Vitamin Pack,VitalLife,Health,148.91,,4.6,335,1,SKU-HEA-0038,"supplements, medical, fitness",High-quality lightweight vitamin pack from VitalLife. Perfect for everyday use. Features premium materials and thoughtful design. This health product has been carefully crafted to meet the highest standards of quality and performance.,2023-07-19 00:00:00,https://placehold.co/400x400/f59e0b/ffffff?text=Vitamin,https://scrapingsandbox.com/product/38,0,0.0,0.0,In Stock,2023-07-19,2023,7,July,Premium,Excellent
39,Compact Canvas,NovaTech,Art,204.29,279.96,4.7,27,1,SKU-ART-0039,supplies,High-quality compact canvas from NovaTech. Perfect for everyday use. Features premium materials and thoughtful design. This art product has been carefully crafted to meet the highest standards of quality and performance.,2023-09-19 00:00:00,https://placehold.co/400x400/06b6d4/ffffff?text=Canvas,https://scrapingsandbox.com/product/39,1,75.67,27.03,In Stock,2023-09-19,2023,9,September,Luxury,Excellent
40,Professional Skipping Rope,SoundWave,Sports,31.33,,3.4,42,1,SKU-SPO-0040,"workout, outdoor, training",High-quality professional skipping rope from SoundWave. Perfect for everyday use. Features premium materials and thoughtful design. This sports product has been carefully crafted to meet the highest standards of quality and performance.,2022-09-19 00:00:00,https://placehold.co/400x400/06b6d4/ffffff?text=Skipping,https://scrapingsandbox.com/product/40,0,0.0,0.0,In Stock,2022-09-19,2022,9,September,Budget,Average
41,Ultra Cookbook,PlayZone,Books,104.27,,3.3,277,1,SKU-BOO-0041,"literature, education, paperback",High-quality ultra cookbook from PlayZone. Perfect for everyday use. Features premium materials and thoughtful design. This books product has been carefully crafted to meet the highest standards of quality and performance.,2022-10-28 00:00:00,https://placehold.co/400x400/f59e0b/ffffff?text=Cookbook,https://scrapingsandbox.com/product/41,0,0.0,0.0,In Stock,2022-10-28,2022,10,October,Premium,Average
42,Vintage Microphone,PageTurner,Electronics,27.42,,3.3,48,0,SKU-ELE-0042,"tech, gadgets, digital",High-quality vintage microphone from PageTurner. Perfect for everyday use. Features premium materials and thoughtful design. This electronics product has been carefully crafted to meet the highest standards of quality and performance.,2023-08-08 00:00:00,https://placehold.co/400x400/3b82f6/ffffff?text=Microphone,https://scrapingsandbox.com/product/42,0,0.0,0.0,Out of Stock,2023-08-08,2023,8,August,Budget,Average
43,Limited Edition Calligraphy Set,NovaTech,Art,44.65,,4.1,138,1,SKU-ART-0043,"supplies, creative, painting",High-quality limited edition calligraphy set from NovaTech. Perfect for everyday use. Features premium materials and thoughtful design. This art product has been carefully crafted to meet the highest standards of quality and performance.,2022-05-28 00:00:00,https://placehold.co/400x400/f59e0b/ffffff?text=Calligraphy,https://scrapingsandbox.com/product/43,0,0.0,0.0,In Stock,2022-05-28,2022,5,May,Budget,Very Good
44,Vintage Art Book,HomeNest,Books,91.83,,4.3,83,1,SKU-BOO-0044,"literature, education, paperback",High-quality vintage art book from HomeNest. Perfect for everyday use. Features premium materials and thoughtful design. This books product has been carefully crafted to meet the highest standards of quality and performance.,2023-05-25 00:00:00,https://placehold.co/400x400/f59e0b/ffffff?text=Art,https://scrapingsandbox.com/product/44,0,0.0,0.0,In Stock,2023-05-25,2023,5,May,Affordable,Very Good
45,Handcrafted Chain,CozyCorner,Jewelry,13.6,,3.4,81,1,SKU-JEW-0045,"accessories, handmade",High-quality handcrafted chain from CozyCorner. Perfect for everyday use. Features premium materials and thoughtful design. This jewelry product has been carefully crafted to meet the highest standards of quality and performance.,2022-08-10 00:00:00,https://placehold.co/400x400/6366f1/ffffff?text=Chain,https://scrapingsandbox.com/product/45,0,0.0,0.0,In Stock,2022-08-10,2022,8,August,Budget,Average
46,Heavy-Duty Play Dough,DeskMate,Toys,50.6,61.74,4.5,491,1,SKU-TOY-0046,"kids, games, fun",High-quality heavy-duty play dough from DeskMate. Perfect for everyday use. Features premium materials and thoughtful design. This toys product has been carefully crafted to meet the highest standards of quality and performance.,2022-08-24 00:00:00,https://placehold.co/400x400/06b6d4/ffffff?text=Play,https://scrapingsandbox.com/product/46,1,11.14,18.04,In Stock,2022-08-24,2022,8,August,Affordable,Excellent
47,Classic Sunscreen,DeskMate,Beauty,157.22,208.55,4.1,172,0,SKU-BEA-0047,skincare,High-quality classic sunscreen from DeskMate. Perfect for everyday use. Features premium materials and thoughtful design. This beauty product has been carefully crafted to meet the highest standards of quality and performance.,2022-12-19 00:00:00,https://placehold.co/400x400/f97316/ffffff?text=Sunscreen,https://scrapingsandbox.com/product/47,1,51.33,24.61,Out of Stock,2022-12-19,2022,12,December,Luxury,Very Good
48,Smart Ab Wheel,FitPro,Sports,102.86,129.16,3.6,15,1,SKU-SPO-0048,"fitness, workout, training",High-quality smart ab wheel from FitPro. Perfect for everyday use. Features premium materials and thoughtful design. This sports product has been carefully crafted to meet the highest standards of quality and performance.,2023-11-16 00:00:00,https://placehold.co/400x400/ef4444/ffffff?text=Ab,https://scrapingsandbox.com/product/48,1,26.3,20.36,In Stock,2023-11-16,2023,11,November,Premium,Good
49,Ultra Vinyl Record,GlowUp,Music,158.97,222.33,3.7,278,1,SKU-MUS-0049,"instruments, audio, recording",High-quality ultra vinyl record from GlowUp. Perfect for everyday use. Features premium materials and thoughtful design. This music product has been carefully crafted to meet the highest standards of quality and performance.,2022-02-02 00:00:00,https://placehold.co/400x400/f59e0b/ffffff?text=Vinyl,https://scrapingsandbox.com/product/49,1,63.36,28.5,In Stock,2022-02-02,2022,2,February,Luxury,Good
50,Organic Olive Oil,PlayZone,Food & Beverage,52.91,70.04,3.2,392,1,SKU-FOO-0050,organic,High-quality organic olive oil from PlayZone. Perfect for everyday use. Features premium materials and thoughtful design. This food & beverage product has been carefully crafted to meet the highest standards of quality and performance.,2022-09-11 00:00:00,https://placehold.co/400x400/8b5cf6/ffffff?text=Olive,https://scrapingsandbox.com/product/50,1,17.13,24.46,In Stock,2022-09-11,2022,9,September,Affordable,Average
51,Premium Belt,MindBooks,Clothing,67.17,84.36,4.6,2,1,SKU-CLO-0051,"fashion, casual",High-quality premium belt from MindBooks. Perfect for everyday use. Features premium materials and thoughtful design. This clothing product has been carefully crafted to meet the highest standards of quality and performance.,2023-06-12 00:00:00,https://placehold.co/400x400/84cc16/ffffff?text=Belt,https://scrapingsandbox.com/product/51,1,17.19,20.38,In Stock,2023-06-12,2023,6,June,Affordable,Excellent
52,Advanced Journal,VitalLife,Books,84.44,,3.4,212,1,SKU-BOO-0052,"education, paperback",High-quality advanced journal from VitalLife. Perfect for everyday use. Features premium materials and thoughtful design. This books product has been carefully crafted to meet the highest standards of quality and performance.,2023-06-29 00:00:00,https://placehold.co/400x400/6366f1/ffffff?text=Journal,https://scrapingsandbox.com/product/52,0,0.0,0.0,In Stock,2023-06-29,2023,6,June,Affordable,Average
53,Wireless Jam Collection,UrbanThread,Food & Beverage,175.09,,3.7,190,0,SKU-FOO-0053,"organic, artisan",High-quality wireless jam collection from UrbanThread. Perfect for everyday use. Features premium materials and thoughtful design. This food & beverage product has been carefully crafted to meet the highest standards of quality and performance.,2023-01-15 00:00:00,https://placehold.co/400x400/06b6d4/ffffff?text=Jam,https://scrapingsandbox.com/product/53,0,0.0,0.0,Out of Stock,2023-01-15,2023,1,January,Luxury,Good
54,Portable Children's Book,FitPro,Books,141.9,,3.3,397,1,SKU-BOO-0054,bestseller,High-quality portable children's book from FitPro. Perfect for everyday use. Features premium materials and thoughtful design. This books product has been carefully crafted to meet the highest standards of quality and performance.,2022-05-10 00:00:00,https://placehold.co/400x400/6366f1/ffffff?text=Children's,https://scrapingsandbox.com/product/54,0,0.0,0.0,In Stock,2022-05-10,2022,5,May,Premium,Average
55,Professional MIDI Controller,SoundWave,Music,79.85,121.02,4.2,123,1,SKU-MUS-0055,accessories,High-quality professional midi controller from SoundWave. Perfect for everyday use. Features premium materials and thoughtful design. This music product has been carefully crafted to meet the highest standards of quality and performance.,2023-12-05 00:00:00,https://placehold.co/400x400/06b6d4/ffffff?text=MIDI,https://scrapingsandbox.com/product/55,1,41.17,34.02,In Stock,2023-12-05,2023,12,December,Affordable,Very Good
56,Essential Ring Light,TechVault,Electronics,117.84,185.18,4.0,232,1,SKU-ELE-0056,"tech, USB",High-quality essential ring light from TechVault. Perfect for everyday use. Features premium materials and thoughtful design. This electronics product has been carefully crafted to meet the highest standards of quality and performance.,2022-11-10 00:00:00,https://placehold.co/400x400/06b6d4/ffffff?text=Ring,https://scrapingsandbox.com/product/56,1,67.34,36.36,In Stock,2022-11-10,2022,11,November,Premium,Very Good
57,Essential Thermometer,PageTurner,Health,81.15,,3.4,325,1,SKU-HEA-0057,"supplements, medical, natural",High-quality essential thermometer from PageTurner. Perfect for everyday use. Features premium materials and thoughtful design. This health product has been carefully crafted to meet the highest standards of quality and performance.,2022-04-15 00:00:00,https://placehold.co/400x400/6366f1/ffffff?text=Thermometer,https://scrapingsandbox.com/product/57,0,0.0,0.0,In Stock,2022-04-15,2022,4,April,Affordable,Average
58,Advanced File Folder,StyleCraft,Office Supplies,156.62,207.19,3.5,268,0,SKU-OFF-0058,"desk, organization, work",High-quality advanced file folder from StyleCraft. Perfect for everyday use. Features premium materials and thoughtful design. This office supplies product has been carefully crafted to meet the highest standards of quality and performance.,2022-10-08 00:00:00,https://placehold.co/400x400/8b5cf6/ffffff?text=File,https://scrapingsandbox.com/product/58,1,50.57,24.41,Out of Stock,2022-10-08,2022,10,October,Luxury,Good
59,Advanced Watch,FitPro,Clothing,45.33,70.34,3.3,207,1,SKU-CLO-0059,"apparel, streetwear, casual",High-quality advanced watch from FitPro. Perfect for everyday use. Features premium materials and thoughtful design. This clothing product has been carefully crafted to meet the highest standards of quality and performance.,2023-06-08 00:00:00,https://placehold.co/400x400/84cc16/ffffff?text=Watch,https://scrapingsandbox.com/product/59,1,25.01,35.56,In Stock,2023-06-08,2023,6,June,Budget,Average
60,Eco-Friendly Puzzle Set,FitPro,Toys,158.96,,4.1,116,1,SKU-TOY-0060,"fun, educational",High-quality eco-friendly puzzle set from FitPro. Perfect for everyday use. Features premium materials and thoughtful design. This toys product has been carefully crafted to meet the highest standards of quality and performance.,2022-02-18 00:00:00,https://placehold.co/400x400/f59e0b/ffffff?text=Puzzle,https://scrapingsandbox.com/product/60,0,0.0,0.0,In Stock,2022-02-18,2022,2,February,Luxury,Very Good
61,Essential Spark Plug,NovaTech,Automotive,180.29,,3.4,276,1,SKU-AUT-0061,"car, accessories",High-quality essential spark plug from NovaTech. Perfect for everyday use. Features premium materials and thoughtful design. This automotive product has been carefully crafted to meet the highest standards of quality and performance.,2023-03-05 00:00:00,https://placehold.co/400x400/8b5cf6/ffffff?text=Spark,https://scrapingsandbox.com/product/61,0,0.0,0.0,In Stock,2023-03-05,2023,3,March,Luxury,Average
